"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD19","Comp-APC-Cy7-A :: CD4","Comp-AmCyan-A :: L_D","Comp-BV711-A :: CD8","Comp-FITC-A :: CD49b","Comp-PE-A :: CD45","Comp-PE-Cy7-A :: TCRb","Comp-Pacific Blue-A :: NKp46","Time"
340,311,280,96,90,274,549,244,538,257,362,672,249,252,458
437,406,276,83,79,271,543,260,572,228,422,674,238,240,459
248,222,286,156,142,282,568,251,581,233,383,683,244,237,467
272,243,287,91,84,276,592,250,543,215,389,746,241,250,468
583,536,278,188,167,288,450,244,607,267,494,729,254,248,469
317,270,300,208,168,317,648,194,591,237,529,781,266,250,471
315,287,281,77,71,275,556,246,380,220,409,687,242,238,480
226,209,277,102,95,275,418,232,472,227,287,729,253,247,484
283,256,283,74,69,275,530,232,555,260,283,691,250,231,486
287,270,272,95,90,271,488,229,507,242,311,663,229,247,488
262,244,275,50,46,277,530,225,624,221,698,667,254,256,489
348,321,278,66,64,264,516,231,492,227,403,687,242,245,489
334,307,279,98,91,275,573,246,490,245,365,688,244,252,489
815,706,296,166,134,316,426,215,631,248,489,654,250,247,490
376,351,275,57,52,277,548,243,510,234,342,680,231,231,494
162,140,297,95,89,273,525,228,481,231,431,721,253,233,498
301,279,277,60,56,276,536,207,445,250,357,700,259,240,504
253,231,280,64,61,272,547,225,490,224,288,686,234,221,504
202,154,336,158,126,321,607,238,609,217,437,755,243,246,511
393,315,319,149,110,347,504,242,708,245,490,767,257,265,512
597,520,294,108,96,288,534,235,594,230,403,764,263,239,512
289,269,275,93,87,271,533,228,494,241,414,700,250,239,523
256,229,287,113,106,273,592,245,500,232,399,691,287,238,525
250,230,278,80,76,270,596,228,380,209,204,701,235,250,525
278,252,282,97,92,269,524,245,510,248,360,715,229,229,526
514,424,310,251,216,298,510,229,634,237,514,797,258,234,526
481,417,296,172,156,282,530,235,619,239,450,695,248,247,535
265,247,274,94,87,277,552,217,473,250,362,704,237,222,536
226,202,286,116,106,280,478,237,599,231,387,724,236,243,541
562,477,302,146,128,292,544,235,590,235,517,756,223,247,546
297,261,291,73,69,272,574,245,528,224,345,715,234,241,548
